class,1,2,3,4,5,6
p,75,36,47,50,104,63
p,62,25,26,29,44,27
p,60,25,25,49,59,28
p,68,32,36,62,90,44
p,66,29,32,33,69,54
p,68,28,31,34,52,32
p,63,25,26,28,52,37
p,66,28,29,28,60,47
p,67,29,31,34,57,41
p,59,23,26,29,47,28
p,62,25,26,23,54,46
p,64,27,28,29,50,31
p,62,26,28,47,64,34
p,65,27,28,31,51,34
p,63,26,28,28,47,33
p,65,27,31,35,59,39
p,59,23,23,22,45,35
p,66,29,33,38,73,49
p,64,26,26,30,49,33
p,73,34,38,45,84,50
p,70,31,35,32,63,47
p,63,26,28,26,47,35
p,64,27,30,33,64,47
p,61,24,25,28,48,37
p,63,27,29,30,56,38
p,68,27,28,29,52,36
p,62,26,27,37,79,51
p,71,31,35,37,68,49
p,64,27,28,28,59,44
p,64,27,30,31,66,42
p,57,22,22,22,32,20
p,60,25,30,34,67,44
p,66,26,27,25,57,47
p,67,27,31,32,60,44
p,65,28,28,29,50,36
p,66,27,29,30,68,52
p,66,27,30,29,67,49
p,68,31,35,40,83,52
p,61,24,27,28,48,33
p,71,31,37,36,61,41
p,65,26,27,25,62,53
p,73,36,39,48,84,52
p,67,27,29,29,61,45
p,69,28,31,29,54,42
p,63,25,28,29,67,46
p,58,23,21,22,42,39
p,71,30,37,47,73,41
p,73,33,39,38,68,46
p,63,26,31,43,60,33
p,69,27,30,33,51,32
p,62,24,24,23,60,51
p,65,27,29,35,61,38
p,73,35,42,48,84,45
p,62,25,27,31,43,28
p,64,26,28,28,48,38
p,66,29,31,34,62,43
p,62,25,28,27,57,42
p,60,25,28,40,45,28
p,62,26,27,32,61,43
p,61,24,25,26,44,32
p,62,23,23,20,37,31
p,67,29,31,29,78,61
p,64,28,28,29,54,39
p,67,28,31,41,59,37
p,71,35,43,52,89,51
p,64,27,29,30,63,44
p,59,23,23,28,44,29
p,61,26,31,34,61,36
p,66,29,34,45,87,46
p,65,27,33,36,81,53
p,76,35,43,45,85,65
p,62,26,27,25,53,42
p,64,27,29,39,61,35
p,66,28,29,28,64,54
p,66,26,26,25,57,47
p,67,27,27,27,46,37
p,60,23,23,22,48,37
p,66,27,29,33,60,42
p,64,27,28,29,57,44
p,63,26,27,23,49,43
p,62,26,28,40,47,31
p,73,36,47,71,108,61
p,64,26,28,29,47,33
p,74,33,38,38,70,45
p,74,36,41,42,89,59
p,66,29,34,41,66,39
p,68,28,30,27,60,52
p,66,27,28,38,54,30
p,61,24,23,21,46,42
p,64,27,29,29,58,44
p,67,27,29,28,60,51
p,73,30,37,33,81,62
p,69,30,37,37,85,55
p,68,28,31,30,49,37
p,65,28,29,29,54,41
p,65,27,30,31,68,51
p,68,27,29,26,53,45
p,63,25,27,24,53,41
p,69,30,34,35,62,44
p,70,31,36,49,87,49
p,66,28,35,43,64,37
p,71,31,36,35,70,52
p,58,24,27,27,51,33
p,62,24,26,26,62,45
p,64,28,30,32,59,38
p,61,25,26,31,45,29
p,69,30,38,41,83,47
p,71,30,35,40,80,57
p,67,28,27,25,62,52
p,67,27,29,26,58,51
p,74,33,41,47,97,59
p,63,24,25,25,52,41
p,66,29,35,37,66,42
p,63,25,26,24,56,43
p,73,31,37,36,86,62
p,68,29,33,38,55,35
p,63,25,29,30,66,45
p,61,25,27,29,49,33
p,63,24,26,24,46,38
p,61,26,29,33,56,37
p,62,26,26,25,52,39
p,60,24,25,23,56,47
p,61,24,25,26,46,32
p,74,31,34,32,65,53
p,66,28,30,28,64,50
p,66,27,28,26,59,46
p,57,24,23,32,41,24
p,77,38,46,58,82,45
p,61,26,27,29,58,38
p,67,26,29,28,57,43
p,64,25,26,24,50,39
p,66,30,32,34,71,47
p,67,28,32,35,56,39
p,66,27,29,35,54,34
p,67,28,30,29,56,44
p,66,28,30,28,65,52
p,62,25,26,30,46,35
p,62,25,26,24,45,36
p,63,25,29,31,63,45
p,68,31,36,44,76,44
p,69,29,31,29,61,49
p,64,26,28,31,51,33
p,63,26,31,34,63,39
p,70,30,35,49,79,46
p,62,23,23,20,49,40
p,71,29,34,32,60,47
p,65,26,28,23,48,40
p,62,25,27,28,49,39
p,69,29,31,28,56,49
p,69,30,35,34,68,54
p,63,26,27,24,57,47
p,79,38,51,57,97,60
p,62,25,26,24,63,49
p,67,28,31,29,63,45
p,66,26,29,29,83,63
p,62,24,25,24,46,35
p,75,34,39,51,87,53
p,65,28,30,26,60,51
p,73,36,42,61,86,47
p,67,29,31,30,71,57
p,71,30,35,36,107,79
p,66,28,31,34,67,42
p,62,27,29,30,53,43
p,63,27,28,27,56,45
p,64,28,29,27,55,45
p,69,30,35,37,75,53
p,64,29,31,37,64,44
p,62,27,30,50,72,34
p,58,24,26,41,44,21
p,69,30,36,36,81,59
p,66,31,37,45,88,51
p,65,27,29,35,55,39
p,71,32,39,58,76,41
p,69,30,34,39,63,42
p,65,28,30,32,65,43
p,63,25,28,28,60,45
p,64,25,27,27,53,42
p,61,26,27,30,43,30
p,67,32,40,53,84,45
p,59,23,22,19,35,28
p,64,26,28,30,55,39
p,65,27,28,26,45,36
p,66,26,30,30,53,37
p,68,30,34,32,73,51
p,82,37,45,44,81,53
p,64,26,26,24,45,37
p,63,26,26,23,55,44
p,61,23,24,23,41,31
p,69,28,29,27,63,54
p,63,25,26,25,52,41
p,62,24,24,23,48,39
p,64,26,28,28,46,32
p,75,39,51,59,108,61
p,66,26,27,24,55,48
p,67,26,29,28,69,55
p,65,26,26,27,48,36
p,64,28,29,30,49,30
p,64,27,28,25,52,40
p,69,30,32,40,63,38
p,68,32,37,76,81,39
